1st,89775,207
2day,89879,848
2mrw,90250,963
4get,89913,1415
about,90212,2785
abt,90212,2785
acc,90185,1935
actually,90185,3063
afta,89811,2055
after,89811,2063
again,89751,2076
ah,90195,2104
ahh,90195,2104
ain,90079,2032
aint,90079,2354
all,89853,2151
alright,90184,5028
am,90229,2315
amazing,90157,5225
and,90240,2156
anyway,89714,5582
apply,89771,2469
appreciate,89832,6233
are,90205,2487
askin,90101,2555
asking,90101,6914
b,89990,7970
b4,90153,8021
baby,89909,7970
back,90258,8033
bak,90258,8024
bb,90176,7970
bc,90177,8064
bck,90258,8033
bcuz,90177,8335
bday,89821,8034
be,89990,7970
because,90177,9757
bed,90194,8034
been,90178,8063
before,90153,8535
being,89877,8085
between,90024,11349
bf,90173,8050
bhee,89990,8164
big,90146,8051
bio,90137,7970
biology,90137,9013
birthday,89821,11193
bitch,90111,9950
black,89776,9040
blck,89776,9040
bn,90178,8063
boi,89763,7970
boy,89763,7970
boyfriend,90173,10624
bridge,89957,13966
bro,89773,8100
brother,89773,14055
bs,90182,8064
bt,90180,8015
btw,90024,9921
business,90100,11233
but,90180,8015
buy,90008,7970
bye,89970,7970
c,90045,14922
can,90083,15151
chem,89736,16037
chemistry,89736,16719
chick,89717,15630
cho,90222,15027
clean,90155,15068
cnt,90162,15190
come,90134,15131
comin,90231,15139
coming,90231,18499
computer,89847,18558
confused,89700,18626
congrats,90060,18638
congratulations,90060,18640
cont,90082,15190
continued,90082,19383
conversation,89730,19421
cooking,89898,18781
cool,90034,15067
could,89905,15082
coz,90177,15019
crazy,89809,15271
cum,90134,15131
cuz,90177,15019
d,90148,20098
da,90148,20098
damn,90200,20197
dat,89951,20221
dats,89822,21126
de,90148,20098
def,89803,20320
dese,90144,20147
dey,89709,20098
dha,90148,20367
didnt,89802,20204
dirty,90032,20818
dnt,89910,20204
do,90089,20098
dog,89878,20170
doin,89971,20169
doing,89971,20203
dollar,90254,20561
dont,89910,20204
driving,90033,24273
du,90089,20098
dude,90063,20098
dy,90010,20098
dye,90010,20098
dying,89955,20203
education,90087,25146
ee,89875,24980
either,90057,25370
entire,89798,25853
esp,90163,26059
especially,90163,26060
every1,90193,26202
everybody,90067,26189
everyone,90193,26212
exhausted,89843,26381
experience,89985,26431
f,90076,26567
facebook,89824,26643
family,89716,26751
far,90225,26612
fat,90107,26595
fck,90076,26658
feeling,90165,26745
fine,90075,26617
finger,90168,27792
first,89775,27041
flirting,89912,28014
fo,90131,26567
fone,89989,26617
for,90131,26612
forever,89735,27043
forget,89913,26993
foto,89889,26595
friends,89870,27845
frm,90058,27004
frnds,89870,27845
from,90058,27004
fuck,90076,26658
fucked,90041,27440
fucking,90243,28746
fun,89711,26617
g0t,90068,29021
gay,90261,29000
gettin,89872,29949
getting,89872,29954
gf,89699,29145
girl,89770,29207
girlfriend,89699,30724
givin,90120,29633
giving,90120,30821
goin,90255,29065
going,90255,29140
gon,89883,29065
gonna,89883,29065
good,90253,29040
got,90068,29027
gt,90068,29027
gud,90253,29040
haha,90080,32144
hahah,90080,32495
happend,90169,33056
happened,90169,33056
hav,90187,32457
have,90187,32457
havent,89727,33589
he,89875,32144
here,90149,32277
hey,90078,32144
him,89764,32296
hoe,90151,32144
hold,89818,32558
holding,89873,33952
honey,89816,32298
hospital,90181,33423
hot,90150,32235
hours,90001,32586
how,90210,32334
hrs,90001,32586
hurt,89755,32456
hurts,89991,33849
hve,90187,32457
hw,90210,32334
ii,90084,35919
im,90086,35933
important,90123,36494
improve,90214,36532
interesting,90154,37122
interview,89928,37235
is,89882,35920
isnt,89848,37791
it,89862,36114
jus,90211,38100
just,90211,39471
k,89759,40829
keeping,90251,42692
kissing,89946,42976
kno,90139,40901
know,90139,42849
kool,90034,40878
leaving,89820,47800
like,90236,46618
lil,89962,46568
listening,89842,48562
little,89962,47536
live,89965,47110
long,89806,46636
looking,90049,47935
lord,89981,48985
love,90114,47110
loving,90143,47800
lyk,90236,46618
m,90229,49592
mah,90226,49694
makin,90053,50278
making,90053,50498
man,90088,49701
me,90038,49592
mee,90038,49592
meh,90038,49694
message,89783,51413
mins,89959,49737
minutes,89959,50967
mis,89968,49807
miss,89968,49807
missing,90249,52707
mix,89982,49669
mobi,90105,49682
mobile,90105,51969
months,90245,53719
mor,90141,49733
more,90141,49733
most,90140,49806
mouth,89708,49814
movie,90029,49821
moving,90026,54549
msg,89783,51413
muh,90226,49694
my,90226,49592
n,90240,56311
nah,90244,56386
natural,90207,57300
nd,90240,56373
never,90138,57896
new,90171,56446
next,90256,57965
night,89886,56756
nite,89886,56346
no,90244,56311
nobody,89924,57553
noo,90244,56311
not,90246,56346
nothing,90108,57275
now,90248,56446
nt,90246,56346
nvr,90138,57896
nw,90248,56446
nxt,90256,57965
o,90189,59144
od,90187,59158
of,90189,59299
oh,90228,59163
ohh,90228,59163
ok,89759,59436
okay,89900,59436
one,89815,59573
otha,90188,59169
other,90188,60011
out,90018,59168
over,89819,60142
ovr,89819,60142
parking,89784,61464
people,90199,60346
phat,90107,60619
phone,89989,60552
photo,89889,60619
pic,90230,60300
pick,90227,60434
pics,90232,61670
picture,90230,63447
pix,90232,60307
planning,90252,60974
player,89742,61164
playing,90156,60932
please,90179,60928
plot,90183,60657
pls,90179,60928
plz,90179,60993
ppl,90199,60346
price,89766,60688
prob,90172,64707
problem,90172,64708
r,90205,66627
ready,89869,66674
really,89983,66689
rec,89887,66695
remeber,90097,68272
